,actual,XGCensus,XGCombined
60,5.241747015059643,4.5197735,4.6542773
61,0.0,-0.38983482,0.24776873
62,4.543294782270004,4.511805,4.3738194
63,5.0369526024136295,5.144446,5.456749
64,4.859812404361672,5.217193,4.7634478
65,3.044522437723423,3.7570713,3.351145
66,5.3981627015177525,5.315707,5.1401467
67,6.322565239927284,5.9920535,5.9183617
68,0.0,0.39217448,1.3844497
69,3.258096538021482,4.2034054,4.513483
70,5.209486152841421,4.682927,4.771127
71,4.812184355372417,4.973259,4.3206
72,0.0,-0.024766596,0.45755473
73,6.561030665896573,5.2654285,5.536952
74,3.713572066704308,2.739024,2.9918215
75,6.899723107284872,7.085506,6.690817
76,5.247024072160486,4.8576374,4.4593306
77,5.82600010738045,5.4544563,5.276482
78,5.902633333401366,4.871731,5.202476
79,9.128045129249353,8.910889,8.481148
80,4.1588830833596715,3.6318023,3.5369513
81,5.214935757608986,5.694118,4.7779055
82,6.470799503782602,5.994269,5.354176
83,5.817111159963204,5.2783365,5.0117645
84,0.0,0.74557996,1.1504241
85,4.532599493153256,4.536359,4.56266
86,3.8501476017100584,3.7024708,4.0501943
87,5.272999558563747,4.8764467,4.2812185
88,4.454347296253507,4.1757383,4.2680635
89,6.415096959171596,5.546256,5.213441
90,4.61512051684126,4.0537724,3.988899
91,4.762173934797756,4.0971327,4.1744127
92,5.545177444479562,5.8122554,5.418735
93,5.0369526024136295,3.6613836,4.1450653
94,4.875197323201151,4.3861723,4.4370985
95,5.389071729816501,3.4428508,3.6447217
96,0.6931471805599453,2.605022,3.673875
97,5.634789603169249,4.8596992,4.4942026
98,3.6375861597263857,4.0937276,4.3890615
99,1.3862943611198906,1.9500515,2.6532762
100,5.093750200806762,4.5427833,5.0737963
101,5.58724865840025,5.5450997,4.91443
102,6.71174039505618,5.913608,5.6277113
103,1.9459101490553132,2.8321354,2.0157938
104,2.302585092994046,5.416039,4.7493734
105,4.812184355372417,4.2583547,4.192107
106,4.5217885770490405,4.647361,4.256968
107,3.784189633918261,3.4328926,3.1743689
108,3.8918202981106265,3.6791487,2.6856968
109,5.723585101952381,5.820139,5.1340413
110,5.236441962829949,4.648444,4.638635
111,4.04305126783455,4.0332384,3.664923
